titulo,canal,plataforma,url,views,likes,comentarios,data_publicacao,texto_comentarios,origem,tipo_video
JOGUEI TODOS OS JOGOS SATISFATÓRIOS DE TECLADO NO ROBLOX... MAS SÓ ME ESTRESSEI.,Play Guima,youtube,https://www.youtube.com/watch?v=W1YZDBZm-Ms,5987,1356,308,2026-08-28,,youtube,desconhecido
PLAY GUIMA AGORA É UMA GAMER PROFISSIONAL DE JOGOS DE CELULAR...,Play Guima,youtube,https://www.youtube.com/watch?v=WtvlGz-uVBk,43183,1932,599,2026-08-27,,youtube,desconhecido
ESSA MENINA BEBE TUDO O QUE EU DOU PRA ELA... E É POR ISSO QUE EU DEI ISSO.,Play Guima,youtube,https://www.youtube.com/watch?v=hOyrZnWzQ7g,171021,6861,1208,2026-08-26,,youtube,desconhecido
FINALMENTE FUI PRA UM ENCONTRO ROMÂNTICO MAS... EM REALIDADE VIRTUAL.,Play Guima,youtube,https://www.youtube.com/watch?v=QDfXiHR7DY4,168696,5451,748,2026-08-25,,youtube,desconhecido
ESTOU SOZINHA EM CASA NO ROBLOX E... NÃO POSSO ABRIR A PORTA PRA ESTRANHOS...,Play Guima,youtube,https://www.youtube.com/watch?v=XMCrwbjlKjU,105843,3932,827,2026-08-24,,youtube,desconhecido
ACHEI QUE ERA UM JOGO DE VESTIR GAROTA MAS... O FINAL ME DEIXOU TRAUMATIZADA.,Play Guima,youtube,https://www.youtube.com/watch?v=c0wUHOEUbm8,170879,7526,1362,2026-08-22,,youtube,desconhecido
VIREI UM PEIXE VOADOR POR 1 DIA... E FIQUEI BRAVA. ,Play Guima,youtube,https://www.youtube.com/watch?v=pLUVsyp5vSk,266761,10904,859,2026-08-21,,youtube,desconhecido
"PRECISO ALIMENTAR MEU PEIXE... MAS QUANTO MAIS ELE COME, MAIS ESTRANHO ELE FICA.",Play Guima,youtube,https://www.youtube.com/watch?v=95k0iHBomg4,154529,5205,864,2026-08-20,,youtube,desconhecido
SÓ PRECISO DESTRUIR ESSE BONECO INOCENTE... no Melon Sandbox.,Play Guima,youtube,https://www.youtube.com/watch?v=NI-Pyv3fAO4,255491,7315,1734,2026-08-19,,youtube,desconhecido
DEPOIS DE ANOS VOLTEI PRA ESCOLA E PRECISO SER POPULAR MAS... É A PIOR ESCOLA DO MUNDO.,Play Guima,youtube,https://www.youtube.com/watch?v=kBiH88QC0R0,128036,4764,714,2026-08-18,,youtube,desconhecido
O JOGO QUE SÓ PRECISO COMER CAFÉ DA MANHÃ... MAS É SATISFATÓRIO no Roblox Mukbang,Play Guima,youtube,https://www.youtube.com/watch?v=RVqvpwlU0-c,211533,8975,1069,2026-08-17,,youtube,desconhecido
PRECISO CUIDAR DESSA FAZENDA MAS... PORQUE O ESPANTALHO TÁ SE MEXENDO??,Play Guima,youtube,https://www.youtube.com/watch?v=ABtAnQHmGrs,152506,5045,1160,2026-08-14,,youtube,desconhecido
OBJETIVO: CONSTRUIR UMA BOMBA NO QUINTAL... E EU CONSEGUI.,Play Guima,youtube,https://www.youtube.com/watch?v=FLoMFZpFGTU,131376,5550,715,2026-08-13,,youtube,desconhecido
SÓ PRECISO LIMPAR ESSA CASA CHEIA DE BARATAS MAS... EU TENHO FOBIA.,Play Guima,youtube,https://www.youtube.com/watch?v=LfOTUbDhSvs,148356,5553,710,2026-08-12,,youtube,desconhecido
QUEBREI 100 OSSOS SÓ PRA GANHAR DINHEIRO MAS... NÃO FOI UMA BOA IDEIA.,Play Guima,youtube,https://www.youtube.com/watch?v=Dnjr_lY_Uc0,329140,6979,995,2026-08-11,,youtube,desconhecido
VIREI FRENTISTA DE POSTO DE GASOLINA POR UM DIA MAS... EM REALIDADE VIRTUAL.,Play Guima,youtube,https://www.youtube.com/watch?v=fE5NQghBKuM,412906,9073,981,2026-08-10,,youtube,desconhecido
ACHEI QUE ESTAVA SOZINHA NO MAR MAS... ISSO APARECEU NO MEU BARCO!!,Play Guima,youtube,https://www.youtube.com/watch?v=SJ_KE-GW3sM,258179,6284,1277,2026-08-08,,youtube,desconhecido
ME PINTEI PRA ME ESCONDER MAS... É NO ROBLOX MECCHA CHAMELEON...,Play Guima,youtube,https://www.youtube.com/watch?v=lBC_z2EOMCw,279184,5938,886,2026-08-07,,youtube,desconhecido
PRECISO CUIDAR DESSE GATINHO MAS... O QUE É AQUILO NA JANELA??,Play Guima,youtube,https://www.youtube.com/watch?v=n6VX5gsHlNo,229786,9629,1057,2026-08-06,,youtube,desconhecido
VIREI PINTORA SÓ PRA ENGANAR IDOSOS RICOS MAS... NÃO SEI DESENHAR.,Play Guima,youtube,https://www.youtube.com/watch?v=1HdQrk899fo,284047,7495,875,2026-08-05,,youtube,desconhecido
VEM COMER ESSE BIFE DE CARNE! NÃO TEM NADA DE ERRADO COM ELE...,Jazzghost,youtube,https://www.youtube.com/watch?v=eFmaLPLKeyY,584657,38893,2203,2026-08-28,,youtube,desconhecido
O VÍDEO QUE FOI CANCELADO E NÃO IA SAIR NO CANAL...,Jazzghost,youtube,https://www.youtube.com/watch?v=uxHQOgOJd80,1370043,75716,3396,2026-08-27,,youtube,desconhecido
TÁ TÃO ABSURDAMENTE QUENTE QUE EU DECIDI ABRIR UMA SORVETERIA!,Jazzghost,youtube,https://www.youtube.com/watch?v=CNJZboOivMM,1681847,79746,3857,2026-08-26,,youtube,desconhecido
"ELE SÓ QUERIA SONHAR PARA SEMPRE, MAS O SONHO VIROU PESADELO!",Jazzghost,youtube,https://www.youtube.com/watch?v=2pTq7eIz0CU,1211856,66185,4516,2026-08-25,,youtube,desconhecido
"SUBA A ESCADA DO MINECRAFT! NÃO IMPORTA O QUE ACONTEÇA, NÃO PARE DE SUBIR A ESCADA!",Jazzghost,youtube,https://www.youtube.com/watch?v=hkdqdmFvhsA,1655596,77337,3639,2026-08-24,,youtube,desconhecido
VOCÊ CONSEGUE ENCONTRAR OS 7 ERROS ENTRE ESSAS DUAS IMAGENS?,Jazzghost,youtube,https://www.youtube.com/watch?v=jfLcHITJZpQ,1845427,87060,5551,2026-08-22,,youtube,desconhecido
FUI VISITAR O MEU PAI ATRASADO PARA O DIA DOS PAIS E AGORA EU TÔ CORRENDO RISCO DE VIDA!,Jazzghost,youtube,https://www.youtube.com/watch?v=z39ta4GIIZE,1628912,75589,3502,2026-08-21,,youtube,desconhecido
EU QUEBREI TODOS OS OSSOS DO MEU CORPO PRA GANHAR UM MILHÃO DE REAIS!,Jazzghost,youtube,https://www.youtube.com/watch?v=dUoNthJKQgg,2326781,105563,5046,2026-08-20,,youtube,desconhecido
VOCÊ ESTUDARIA NA ESCOLA DO JAZZGHOST? (eu vou te reprovar),Jazzghost,youtube,https://www.youtube.com/watch?v=w9Cp6GKCcAU,1871950,102322,4110,2026-08-19,,youtube,desconhecido
A MAIOR VINGANÇA DE TODAS! EU HUMILHEI O SORVETEIRO DE ICE SCREAM E ELE CHOROU!,Jazzghost,youtube,https://www.youtube.com/watch?v=BnH1P_JSRwI,1321316,58104,2464,2026-08-18,,youtube,desconhecido
SOBREVIVENDO NO MINECRAFT APENAS COM UM BLOCO DE... GALINHA???,Jazzghost,youtube,https://www.youtube.com/watch?v=R_oPFX_DXmc,1980177,90570,3452,2026-08-17,,youtube,desconhecido
VIDA REAL: ELA SÓ FOI FAZER COMPRAS NO MERCADO E AGORA TEM UM LOUCO ATRÁS DELA!,Jazzghost,youtube,https://www.youtube.com/watch?v=ke_y4SVbZD4,2922900,111094,5449,2026-08-15,,youtube,desconhecido
"EU TÔ VENDENDO A MINHA CASA, VOCÊ QUER COMPRAR? ELA É UMA CASA NORMAL...",Jazzghost,youtube,https://www.youtube.com/watch?v=QQ6pYZQaqO8,2254620,93161,4597,2026-08-14,,youtube,desconhecido
DEPOIS DE ANOS CRIARAM UM NOVO FINAL OFICIAL DE GRANNY 3!,Jazzghost,youtube,https://www.youtube.com/watch?v=QbA-h5OtuLI,1929533,85959,3496,2026-08-13,,youtube,desconhecido
QUEM ESTÁ MENTINDO?,Jazzghost,youtube,https://www.youtube.com/watch?v=ngyKyBMTd_4,2049587,86235,3435,2026-08-12,,youtube,desconhecido
ESSE DIA FINALMENTE CHEGOU... OS DOIS... OS DOIS JUNTOS EM UM SÓ VÍDEO!,Jazzghost,youtube,https://www.youtube.com/watch?v=9hV72qzHfjk,2060688,115880,6716,2026-08-11,,youtube,desconhecido
"MINECRAFT, MAS AGORA OS MOBS PASSIVOS TEM ARMAS E QUEREM ME MATAR!",Jazzghost,youtube,https://www.youtube.com/watch?v=-BdctyFQdVE,3272011,117881,6012,2026-08-10,,youtube,desconhecido
EU DESCOBRI DA PIOR FORMA QUE O MEU VIZINHO É UM SERIAL KILLER...,Jazzghost,youtube,https://www.youtube.com/watch?v=zTx7EJ6JqFs,2374276,107579,4776,2026-08-08,,youtube,desconhecido
FUI JOGAR O NOVO GTA 6 NA CASA DO MEU AMIGO E AGORA EU CORRO RISCO DE VIDA! ,Jazzghost,youtube,https://www.youtube.com/watch?v=XUYyD8NjsyY,3013495,104807,4396,2026-08-07,,youtube,desconhecido
EU PESQUEI UM MONSTRO MARINHO RARO... E FATIEI ELE!,Jazzghost,youtube,https://www.youtube.com/watch?v=CA46rfvqOMU,2505486,97168,3791,2026-08-06,,youtube,desconhecido
ENFRENTEI O THE BOILED ONE BRASILEIRO USANDO ARMAS... ME ARREPENDI!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=TK6hB8vBIdM,55141,2033,114,2026-08-26,,youtube,desconhecido
SOBREVIVENDO EM APENAS 1 BLOCO DE TERROR NO MINECRAFT!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=J5f7Onlf-yU,49800,2072,160,2026-08-22,,youtube,desconhecido
ESSE MOD CONSEGUE OUVIR MEU MICROFONE NO MINECRAFT!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=2OQdeM5AFsM,98856,2999,182,2026-08-19,,youtube,desconhecido
SOBREVIVENDO AO MOD DE TERROR DO BOB THE TOOLBOX NO MINECRAFT!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=GLIoB4mt7k4,87476,2305,113,2026-08-16,,youtube,desconhecido
O SMILLING FREAK NO MINECRAFT É ASSUSTADOR!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=j4GDbd5Syx0,54987,1839,100,2026-08-14,,youtube,desconhecido
COLOQUEI MODS DAS BACKROOMS NO MINECRAFT... NÃO DEVIA TER FEITO ISSO!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=3BldAFELSrQ,105610,2670,121,2026-08-11,,youtube,desconhecido
ADICIONEI MODS DE FNAF NO MINECRAFT... E ME ARREPENDI!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=7YLlBOm9RbA,177945,4482,137,2026-08-08,,youtube,desconhecido
TEM UMA ANOMALIA NA PORTA DA MINHA CASA NO ROBLOX!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=xw4epl05ZNI,22814,932,56,2026-08-06,,youtube,desconhecido
TENTANDO SOBREVIVER NO MAR ABERTO... MAS ALGO BIZARRO ACONTECEU!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=KwPUXfcSLcc,26365,1180,66,2026-08-04,,youtube,desconhecido
TEM ALGO ERRADO COM OS PORCOS DO MEU MINECRAFT!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=1At3H_7C0L4,79728,2421,116,2026-08-01,,youtube,desconhecido
JOGUEI O VERITY MAIS ASSUSTADOR DO ROBLOX!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=T2vzoubsTlc,37027,1262,61,2026-07-30,,youtube,desconhecido
NUNCA TRABALHE NESSE MERCADO A NOITE...,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=nYLJlQG9S6I,35918,1339,33,2026-07-29,,youtube,desconhecido
NUNCA TRABALHE NESSE MERCADO DE NOITE!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=xsKdPCsJvqU,63144,2080,151,2026-07-28,,youtube,desconhecido
SOBREVIVENDO AO CREEPYHORSE NO MINECRAFT!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=lR6bPxMywdo,170428,4484,124,2026-07-25,,youtube,desconhecido
NÃO TIRE FOTOS ÀS 3H DA MANHÃ NESSE LUGAR!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=RtA2g83iX-c,22082,1181,54,2026-07-23,,youtube,desconhecido
O JOGO DE TERROR DO PATRICK ESTRELA!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=AjyXvv0OLs0,41914,1590,77,2026-07-22,,youtube,desconhecido
JOGUEI VERITY NO MINECRAFT... E ME ARREPENDI!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=ILKMQp_iHg0,122760,3584,166,2026-07-21,,youtube,desconhecido
APITEI A FINAL DA COPA DO MUNDO!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=QoCRqLnX9NU,49625,1815,134,2026-07-19,,youtube,desconhecido
O JOGO DO JAZZGHOST!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=cjMqLR6-f1Q,72883,3636,132,2026-07-18,,youtube,desconhecido
JOGUEI MUKBANG NO ROBLOX... E ELE É MUITO SATISFATÓRIO!,Diogo Matheus Gameplay,youtube,https://www.youtube.com/watch?v=BmHC_7nN26o,131126,3362,231,2026-07-17,,youtube,desconhecido
joguei gta 6 mas sipa era BEN 10 san andreas dublado de ps2,kksaiko,youtube,https://www.youtube.com/watch?v=ppk-_oOhNPU,302370,25494,602,2026-08-21,,youtube,desconhecido
apostando o dinheiro do meu amigo só de meme,kksaiko,youtube,https://www.youtube.com/watch?v=mEUVJ28D5rg,666608,46273,1005,2026-08-15,,youtube,desconhecido
joguei palworld em 2026 pq ta famoso DE NOVO,kksaiko,youtube,https://www.youtube.com/watch?v=ZE5ezixPGP8,314076,25429,726,2026-08-08,,youtube,desconhecido
dois otaco 🍣 no jogo onlines de animes 💔,kksaiko,youtube,https://www.youtube.com/watch?v=HX1qEnwHzzw,257068,25591,951,2026-08-02,,youtube,desconhecido
eu tenho 45 segundos pra sobreviver em alto mar...,kksaiko,youtube,https://www.youtube.com/watch?v=8mB0lfTniDU,577970,40594,695,2026-07-30,,youtube,desconhecido
